,5
 travel[travel,3
chinese,2,a
global,1,s
 hotel],15
ice,6,n
event[show,1
children,3,n
apartment,2,n
father,9,n
iraqi,2,a
brown,3,n
risk,2,n
 father,1
 building],1
 movies,1
school,2,n
pbs,1,n
louis,2,n
companies,4,n
democrat,2,n
 service,1
pork,2,n
country[country,1
holocaust,3,n
tex,2
 bathrooms],1
cost,1,n
video,1,n
lawyer,6,n
plead,1,v
nbc,3
investment,1,n
blue,4,s
abc,1,n
paintings,3,v
new,1,s
Peyton,1
transportation,1,n
funeral,1,n
men,1,n
french,5,n
water,2,n
baseball,2,n
ethanol,2,n
iraq,2,n
tragedy,1,n
change,1,v
 calif,1
great,1,s
kids,2,n
daughter,3,n
employees,1,n
trial,3,n
airport,1,n
military,6,a
residents,3,n
apple,7,n
family,8,n
county,1,n
 husband,1
patriots,6,n
congolese,1,a
market,2,n
troops,7,n
army,2,n
music,1,n
films,4,n
 beach[airlines,1
green ,1
israel,3,n
company,6,n
chocolate,2,n
entertainment[film,1
train,1,v
baby,2,n
cases,2,n
earth,2,n
women,1,n
room,2,n
car,1,n
movies,4,n
making,1,v
history,4,n
giants,7,n
president,9,n
trump,3,v
estate,5,n
tax,1,v
 contract,3
states,5,n
travel[airlines,1
the editor,1
united,4,v
end,2,n
winter,6,v
january,2,n
NHL,1
travel,6,v
write,2,v
travel[travelers,1
comedy,2,n
beach,2,v
 insurance,1
stock,1,n
plant,1,v
ABC,2,n
spitzer,1
 movie,1
court,4,n
pleaded,1,v
law,2,n
man,1,n
johnson,3,n
st,2
chief,5,n
green,4,n
democratic,1,a
wine,1,v
 building,1
mexican,1,a
producer,1,n
cheese,2,v
years,5,n
New YOrk[york,1
 king],1
 marriage,1
White,1,n
nets,1,n
mayor,1,n
Health Care[health,1
police,1,v
 pork],1
minor league,1
writing,3,v
late,2,s
resort,2,n
production,1,n
listing,1,v
mail,1,n
film[film,2
sauce,1,v
phone,1,n
postwar,1,a
prime minister,1
half,1,s
schools,2,n
republican,2,n
 comedy,1
day,1,n
viewers,2,n
meat,1,n
james,3,n
university,1,n
countries,4,n
found,1,v
quarter,1,n
 countries],1
square,4,v
billion,1,n
 phone],1
house,6,n
fish,2,n
science and nature,1
 st,1
books,1,n
year,6,n
property types[house,1
insurance,3,n
prewar,1,a
space,2,n
god,1,n
 fox,1
testify,1,v
research,1,v
health,4,n
internet,4,n
calif,3,n
red,4,n
shows,2,v
wines,1,v
million,5,n
york,5,n
plea,1,n
care,3,n
david,3,n
american,6,n
husband,4,v
corrections,1,n
hussein,1,n
secretary,1,n
Editor[editor,2
Obituary,1,n
major,2,a
 country,1
number,2,n
spanish,1,n
city,3,n
management,4,n
service,1,n
bears,4,v
system,2,n
designer,1,n
 family],1
palestine,1,n
hollywood,1,n
john,2,n
williams,2,n
listed,2,v
software,2,n
season,1,v
hotel,4,n
park,2,n
environmental,1,a
white,4,n
obama,1
king,3,n
television,1,n
nations,5,n
project,1,v
street,5,n
marriage,3,n
store,1,n
design,1,v
sculpture,1,v
russia,3,n
san,2
investors,1,n
correction,1,n
glass,1,n
 ago],3
mountain,2,n
landmarks[street,1
snow,7,n
chairman,5,v
forces,2,n
online,4,a
quarterback,1,n
added,1,v
price,3,n
paid,4,v
pastor,2,n
brooklyn,3,n
location[ohio,1
plan,1,v
 mail,1
america,1,n
gallery,3,n
medical,1,a
national league,2
neediest,2,s
 fox],1
movie,5,n
painting,2,v
microsoft,7
thomas,2,n
show,5,v
agreed,2,v
radio,1,n
democrats,2,n
bedroom,4,n
soldiers,2,n
chicken,3,n
time[time,1
networks[abc,1
knicks,1
justice,2,n
writes,3,v
Marriages[mother,1
state,1,n
bush,1,n
black,4,s
hockey,1,n
communist,1,n
local,2,a
photographs,1,v
hungarian,1,n
no-trump,1,n
trees,2,v
 resort,15
 shows],1
sunni,3,n
bar,1,n
artist,2,n
married,4,a
 park,1
taxes,1,v
miles,1,n
ohio,3,n
told,1,v
wrote,2,v
restaurants,1,n
 television,1
art,3,n
fair,2,s
national,1,a
 films],2
manning,1,v
officials,2,n
college,1,n
jury,1,n
israeli,3,a
computer,2,n
 airport[travelers,7
federal,1,a
nuclear,1,a
sites,2,v
case,3,n
written,3,v
 cbs,1
diamonds,2,n
shiite,2,n
notice,7,n
terms,3,n
jr,3,n
 sites,1
jets,8,n
league,3,n
climate,1,n
restaurant,1,n
country,4,n
 estate,1
contract,2,v
foreign,3,a
players,1,n
games,4,n
bronx,3,n
senator,3,n
 san],1
 pbs,1
community,2,n
anti,1,a
vacation[ski,1
speak,1,v
arts,1,n
political,3,a
airlines,2,n
 nbc,2
secret,1,s
Obituaries,1,n
exhibition,4,n
wine[wine,1
 web,1
 plan],1
meat[chicken,1
family[wife,1
gas,2,n
palestinian,3,a
Nations,1,n
fund,1,v
minister,4,n
child,2,n
prices,2,n
CW,1
weeks,1,n
plants,1,v
 community],1
budget,2,n
air,2,n
phone and other services[radio,1
voice,1,n
study,3,n
bathrooms,4,n
century,2,n
site,2,n
player,1,n
drug,1,v
property,1,n
technology,1,n
memorial,4,n
CBS,1
pay,1,v
make,2,v
bowl,1,n
economy,1,n
party,1,n
european,2,a
development,1,n
lawyers,6,n
director,6,n
people[people,1
student,4,n
 hollywood,1
colts,5,n
recent,1,s
center,1,n
iraqis,2,n
 director,1
www[online,1
china,4,n
american league,2
mother,3,n
hearts,2,n
researchers,2,n
United,1,v
stores,1,n
money,3,n
 louis,1
executive,7,n
 exhibition],1
foot,3,n
 time,3
Transactions[terms,1
web,4,n
death,2,n
travel[travel,1
 producer,1
 series,1
workers,1,n
parents,2,n
board,2,n
beloved,2,s
ski,1,v
real,4,s
government,1,n
board[board,1
game,4,n
 chairman,1
 music,1
judge,4,v
world,4,n
 the editor],2
Sports[league,1
toyota,5,n
night,1,n
www,1,n
jews,2,n
deal,1,v
people,6,n
senate,3,n
 internet],1
church,4,n
back,1,v
dead,2,s
clubs,2,n
growth,1,n
election,1,n
home,3,n
Nations[countries,1
fox,3,n
legal,2,a
maliki,2
 Transactions[terms,1
 travel,16
super,1,s
jurors,1,n
island,2,n
 family,1
drama,1,n
testimony,1,n
executives,5,n
Eli,1
clinton,1,n
al,1,n
travelers,8,n
attorney,6,n
son,2,n
united states,1
weather,3,v
artists,2,n
 films,1
development league,2
Cards[trump,1
museum,3,n
long,2,a
editor,2,n
 year,3
series,2,n
war,4,n
ago,3,s
jewish,2,a
 nations],1
 bronx],1
ford,5,n
survived,3,v
 digital,1
time[years,1
made,2,v
House,1,n
wife,6,n
economic,1,s
loving,2,v
 wines],1
ABC's,1,n
deaths,8,n
sales,2,n
cbs,1
politics,1,n
campus,1,n
film,3,n
cream,2,v
misstated,1,v
lemon,1,n
gay,1,s
 show,1
percent,1,n
drugs,1,v
book,1,n
digital,1,a
department,1,n
 end[years,1
 director],1
republicans,1,n
congress,1,n
students,2,n
 parents,1
friends,1,n
died,5,v
building,3,v
spades,3,n
 agreed],3
 season,1
 married],1
 viewers,1
 brooklyn,1
time,3,n
