coach,3,n
dish,1,n
children,6,n
foreign nations,1
apartment,3,n
father,4,n
iraqi,1,a
green friendly,1
street,2,n
risk,2,n
school,1,n
companies,4,n
democrat,7,n
team,2,n
small,1,s
Super Bowl,2
holocaust,1,n
chef,2,n
cost,1,n
design,3,v
lawyer,3,n
investment,5,n
paintings,3,v
asia,1,n
cars,6,n
new,1,s
public,3,n
iran,4,n
funeral,2,n
men,1,n
Health Care,2
baseball,4,n
ethanol,2,n
iraq,1,n
change,3,v
daughter,2,n
employees,1,n
guilty,1,a
trial,1,n
airport,1,n
published,3,v
military,6,a
residents,1,n
york,5,n
named,1,v
campaign,3,n
transit,2,v
litigators,1,n
Football Teams,3
market,4,n
troops,1,n
army,1,n
eastern europe,1
hospital,2,n
century,1,n
sports,1,n
music,1,n
black,3,s
loving,3,v
israel,1,n
company,9,n
chocolate,1,n
phone,1,n
baby,1,n
cases,3,n
women,4,n
town,1,n
middle,1,n
science,1,n
work,1,v
reviews,1,n
movies,2,n
freedom,1,n
history,4,n
estate,2,n
tax,2,v
high,4,n
Relatives,1,n
numbers,1,n
viewers,2,n
ceremony,1,n
united,1,v
court,3,n
winter,1,v
travel,5,v
beach,1,v
stock,2,n
designer,4,n
spitzer,1
List,1,v
president,6,n
Residents,1,n
law,4,n
man,3,n
Marriages,2,n
Politics,2,n
democratic,2,a
playing,1,v
Obituary,1,n
years,1,n
committee,1,n
nets,1,n
mayor,2,n
board of directors,1
style,2,n
police,3,v
Transactions,1,n
writing,1,v
late,4,s
resort,1,n
production,1,n
listing,1,v
mail,1,n
holiday,1,n
senat,1
good,2,s
finance,1,n
food,1,n
schools,4,n
republican,7,n
day,1,n
presidential,4,a
meat,2,n
january,4,n
university,1,n
countries,2,n
economy,2,n
financial,3,a
city service,1
series,1,n
fish,1,n
Sports,1,n
society,2,n
year,3,n
insurance,3,n
space,2,n
god,2,n
research,4,v
investigation,2,n
health,2,n
internet,1,n
shows,1,v
wines,2,v
Notice Deaths,1
contract terms,1
University,1,n
million,3,n
free,1,v
square foot,1
basketball,4,n
struggle,1,v
Corrections,1,n
care,3,n
times,3,n
american,6,n
residential sales,1
corrections,2,n
cheese,2,v
delicious,1,s
vote,2,v
art,1,n
pleaded,1,v
city,6,n
story,2,n
management,5,n
service,3,n
system,3,n
relations,1,n
new york,1
listed,2,v
Date,1,n
hollywood,1,n
Iraq,1,n
finances,1,n
store,5,n
season,4,v
hotel,3,n
park,1,n
doctors,2,n
king,1,n
television,2,n
stock market,1
war,11,n
project,3,v
patients,2,n
New York,3
Local News,1
russia,1,n
exhibit,1,v
fashion,5,n
investors,3,n
correction,1,n
sports teams,1
tonight,1,r
medical,4,a
car,1,n
ratings,1,v
dining,2,v
chairman,3,v
online,2,a
quarterback,1,n
theatre,1,n
price,1,n
paid,3,v
brooklyn,2,n
plan,1,v
letter,1,n
america,1,n
gallery,7,n
united nations,1
professor,1,n
disease,2,n
neediest,5,s
Election,1,n
painting,2,v
microsoft,2
son,1,n
show,4,v
agreed,1,v
Healthcare,1,n
Religion,2,n
radio,1,n
democrats,2,n
earth,2,n
chicken,1,n
knicks,1
justice,1,n
menu,4,n
crime,1,n
bush,1,n
candidates,1,n
fuel,1,v
communist,1,n
local,3,a
The Neediest Cases,1
Bridegroom,1,n
wedding,2,n
bar,1,n
artist,4,n
married,3,a
teams,4,n
husband,3,v
restaurants,4,n
art news,1
climate change,1
national,2,a
manning,4,v
officials,5,n
college,2,n
transportation,1,n
calendar,2,n
nations,1,n
best,1,s
federal,3,a
New York City,2
review,4,n
sites,1,v
state,6,n
marriage,6,n
europe,1,n
notice,3,n
terms,2,n
boss,1,n
awards,1,n
article,1,n
middle east,2
lawsuit,1,n
league,1,n
accused,1,v
restaurant,1,n
country,2,n
contract,2,v
foreign,2,a
players,1,n
games,4,n
bronx,2,n
grooming,1,v
jersey,2,n
non green,1
cancer,2,n
community,2,n
news,1,n
arts,3,n
best seller,1
political,14,a
vacation,1,n
strategy,1,n
secret,1,s
Obituaries,2,n
killed,2,v
life,4,n
shopping,2,v
Poland,1,n
republicans,3,n
gas,2,n
fund,2,v
minister,1,n
child,2,n
health insurance,3
case,2,n
novel,1,s
Deaths,1,n
budget,4,n
Colors,1,n
teachers,3,n
Church,1,n
property,3,n
study,4,n
played,1,v
player,2,n
stock prices,1
drug,1,v
technology,6,n
NY NBA Teams,1
memorial,3,n
author,4,n
home sales,1
administration,1,n
political party,1
events,1,n
european,1,a
development,8,n
lawyers,1,n
mountain,1,n
social,1,a
closings,2,v
director,1,n
colts,1,n
center,1,n
charges,2,v
ocean,1,n
mother,3,n
audio,1,n
soviet,2,a
researchers,4,n
stores,5,n
sentence,1,n
money,4,n
laptop,2,n
Cards,3,n
Internet,2,n
flavor,1,n
death,4,n
family,14,n
residential,3,a
workers,1,n
Holidays,1,n
parents,3,n
exhibition,3,n
beloved,2,s
Brands,1,n
real estate,3
municipal,1,a
government,11,n
couple,1,n
game,5,n
judge,2,v
world,6,n
Martin Luther King,1
toyota,3,n
works,5,v
attorney,2,n
jews,2,n
people,8,n
senate,1,n
church,4,n
back,2,v
dead,2,s
hair,2,n
economic,1,s
election,1,n
home,2,n
caribbean,1,n
seller,1,n
Drinking,1,v
business,5,n
Groom,1,v
leadership,1,n
passed away,1
Bride ,1
executives,2,n
island,2,n
citizens,1,n
dinner,2,n
Best,1,s
software,4,n
travelers,1,n
airlines,1,n
homeless,1,s
artists,4,n
computer,3,n
museum,3,n
Birthday,1,n
editor,4,n
house,2,n
NBA,1
energy,1,n
jewish,2,a
funds,2,v
brand,1,n
American people,1
pastor,2,n
ford,1,n
holiday office closings,1
line,2,n
made,2,v
major league baseball,1
Locations,1,n
growth,1,n
emissions,2,n
display,1,n
USA,1,n
deaths,1,n
sales,2,n
health care,1
politics,6,n
education,7,n
cream,1,v
misstated,1,v
percent,1,n
ny,1,n
digital,1,a
department,1,n
congress,1,n
students,4,n
football,5,n
stocks,1,n
died,1,v
building,3,v
time,2,n
international,6,a
